,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Atambua,ID,-9.1061,124.8925,76.21,90,100,8.57,heavy intensity rain
275,Manggar,ID,-2.8833,108.2667,85.55,67,100,11.83,moderate rain
276,Kununurra,AU,-15.7667,128.7333,89.6,79,40,10.36,scattered clouds
277,Makaha,US,21.4694,-158.2175,77.0,78,40,3.44,scattered clouds
278,Kaitangata,NZ,-46.2817,169.8464,64.99,75,100,7.0,overcast clouds
279,Labuhan,ID,-6.8844,112.2051,83.14,77,82,9.44,broken clouds
280,Fuerte Olimpo,PY,-21.0415,-57.8738,79.03,67,10,6.96,clear sky
281,Inuvik,CA,68.3499,-133.7218,-27.4,68,100,1.14,overcast clouds
282,Lydenburg,ZA,-25.0978,30.4597,61.93,93,12,0.94,few clouds
283,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.2,47,100,17.9,light snow
284,Makokou,GA,0.5738,12.8642,68.94,97,92,2.3,overcast clouds
285,Aquiraz,BR,-3.9014,-38.3911,80.6,83,40,8.05,scattered clouds
286,Yatou,CN,37.15,122.3833,48.24,62,42,15.86,scattered clouds
287,Svetlogorsk,BY,52.6333,29.7333,22.75,98,100,9.19,overcast clouds
288,Aksarka,RU,66.5606,67.7975,-13.76,88,100,8.43,overcast clouds
289,Matay,EG,28.419,30.7792,45.68,56,0,3.8,clear sky
290,Katsuura,JP,35.1333,140.3,51.8,37,20,14.97,few clouds
291,Constitucion,CL,-35.3333,-72.4167,58.91,92,31,6.85,scattered clouds
292,Alakurtti,RU,66.9672,30.3491,10.0,89,100,1.39,overcast clouds
293,Vao,NC,-22.6667,167.4833,76.51,79,83,21.94,broken clouds
294,Saint-Francois,FR,46.4154,3.9054,45.0,93,90,2.3,overcast clouds
295,Shimoda,JP,34.6667,138.95,51.8,46,20,9.22,few clouds
296,Never,FR,46.9896,3.159,46.99,100,90,4.61,overcast clouds
297,Chongwe,ZM,-15.3292,28.682,63.54,94,100,1.97,overcast clouds
298,San Cristobal,VE,7.7669,-72.225,64.29,70,97,1.59,overcast clouds
299,Laranjeiras Do Sul,BR,-25.4078,-52.4161,65.07,100,59,4.74,broken clouds
300,Pala,TD,9.3642,14.9046,66.36,26,0,5.46,clear sky
301,Mukhen,RU,48.1,136.1,-5.96,83,37,10.16,scattered clouds
302,Durazno,UY,-33.4131,-56.5006,64.22,83,100,19.3,overcast clouds
303,Portland,US,45.5234,-122.6762,46.99,81,90,11.5,overcast clouds
304,Bukama,CD,-9.2,25.85,67.5,94,100,1.77,light rain
305,Port Augusta,AU,-32.5,137.7667,78.8,47,98,14.97,overcast clouds
306,Selma,US,36.5708,-119.6121,51.8,100,1,3.0,clear sky
307,Penzance,GB,50.1186,-5.5371,42.01,100,90,10.36,overcast clouds
308,Norman Wells,CA,65.282,-126.8329,-23.8,69,75,4.14,broken clouds
309,Korla,CN,41.7597,86.1469,25.32,79,0,6.82,clear sky
310,Kimbe,PG,-5.5502,150.1429,81.1,84,100,7.76,moderate rain
311,Holme,DK,56.1138,10.1725,30.2,100,75,5.75,broken clouds
312,Ossora,RU,59.2353,163.0719,-0.71,91,100,21.88,snow
313,Umea,SE,63.8284,20.2597,10.4,85,90,6.91,overcast clouds
314,Baherden,TM,38.4362,57.4316,48.47,55,94,2.98,overcast clouds
315,Arraial Do Cabo,BR,-22.9661,-42.0278,76.44,82,21,25.77,few clouds
316,Kayerkan,RU,69.3497,87.7602,-32.62,73,0,4.56,clear sky
317,Natchitoches,US,31.7668,-93.1335,66.2,88,90,10.36,overcast clouds
318,Kiama,AU,-34.6833,150.8667,70.0,95,95,1.01,overcast clouds
319,Grindavik,IS,63.8424,-22.4338,23.0,68,75,5.75,broken clouds
320,Volodarskiy,RU,46.4013,48.5409,28.4,100,90,13.42,fog
321,Zyryanka,RU,65.75,150.85,-26.3,84,100,17.18,overcast clouds
322,Orotukan,RU,62.2667,151.7,-29.18,81,100,6.04,overcast clouds
323,Vila Velha,BR,-20.3297,-40.2925,77.0,83,20,4.61,few clouds
324,San Gabriel,US,34.0961,-118.1058,53.6,66,1,3.85,clear sky
325,Cherskiy,RU,68.75,161.3,-35.68,83,0,2.28,clear sky
326,Aleksandrov Gay,RU,50.147,48.5704,20.75,96,6,10.49,clear sky
327,Yulara,AU,-25.2406,130.9889,96.8,17,40,17.27,scattered clouds
328,Lavrentiya,RU,65.5833,-171.0,-13.07,85,68,8.68,broken clouds
329,Abalak,RU,58.1286,68.5944,12.63,96,100,8.72,overcast clouds
330,Margate,GB,51.3813,1.3862,39.0,61,25,4.0,scattered clouds
331,Dayong,CN,25.0209,118.2898,69.8,52,0,4.47,clear sky
332,Okha,RU,53.5739,142.9478,-4.09,89,100,19.77,overcast clouds
333,Kimberley,ZA,-28.7323,24.7623,60.8,94,0,6.91,clear sky
334,Sorong,ID,-0.8833,131.25,82.4,74,100,11.34,overcast clouds
335,Antofagasta,CL,-23.65,-70.4,66.2,82,20,11.5,few clouds
336,Tabuk,PH,17.4189,121.4443,69.66,79,100,3.31,overcast clouds
337,Lander,US,42.833,-108.7307,30.0,46,1,3.44,clear sky
338,Klaksvik,FO,62.2266,-6.589,30.2,80,75,16.11,light snow
339,General Pico,AR,-35.6566,-63.7568,58.37,69,11,7.63,light rain
340,Winchester,GB,51.0651,-1.3187,34.0,80,20,10.36,few clouds
341,Comodoro Rivadavia,AR,-45.8667,-67.5,51.8,66,0,3.44,clear sky
342,Peace River,CA,56.2501,-117.286,-2.2,84,1,4.61,clear sky
343,Hualmay,PE,-11.0964,-77.6139,70.66,77,97,6.87,overcast clouds
344,Huarmey,PE,-10.0681,-78.1522,71.94,72,85,5.57,overcast clouds
345,Maracas,BR,-13.4411,-40.4308,61.48,100,100,2.46,overcast clouds
346,Barinas,VE,8.6226,-70.2075,76.37,60,67,3.91,broken clouds
347,Zhigansk,RU,66.7697,123.3711,-44.45,75,70,4.83,broken clouds
348,Rosarito,MX,32.3333,-117.0333,52.0,82,40,7.07,scattered clouds
349,Meulaboh,ID,4.1363,96.1285,84.42,62,75,1.99,broken clouds
