City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
274,Atambua,ID,76.21,heavy intensity rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
275,Manggar,ID,85.55,moderate rain,-2.8833,108.2667,Guest Hotel
276,Kununurra,AU,89.6,scattered clouds,-15.7667,128.7333,Hotel Kununurra
277,Makaha,US,77.0,scattered clouds,21.4694,-158.2175,Hawaiian Princess Resort
279,Labuhan,ID,83.14,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
280,Fuerte Olimpo,PY,79.03,clear sky,-21.0415,-57.8738,Hospedaje DAMI
285,Aquiraz,BR,80.6,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
293,Vao,NC,76.51,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
305,Port Augusta,AU,78.8,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
310,Kimbe,PG,81.1,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
315,Arraial Do Cabo,BR,76.44,few clouds,-22.9661,-42.0278,Pousada Porto Praia
323,Vila Velha,BR,77.0,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
334,Sorong,ID,82.4,overcast clouds,-0.8833,131.25,The Waigo Hotel
346,Barinas,VE,76.37,broken clouds,8.6226,-70.2075,Hotel Suites Mastranto
349,Meulaboh,ID,84.42,broken clouds,4.1363,96.1285,Kost Pria
354,Yeppoon,AU,87.8,scattered clouds,-23.1333,150.7333,Villa Mar Colina
357,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
359,Isangel,VU,80.6,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
363,Vanimo,PG,86.31,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
366,Sawtell,AU,82.4,scattered clouds,-30.3833,153.1,Island Beach House Sawtell
373,Passo De Camaragibe,BR,75.2,scattered clouds,-9.2368,-35.4901,Chácara vovó candinha
395,The Valley,AI,77.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
402,Luganville,VU,84.22,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
404,Natitingou,BJ,75.2,clear sky,10.3042,1.3796,Auberge Centrale
406,Sinnamary,GF,77.65,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
