City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Bodden Town,KY,2021-01-27 21:08:57,19.2833,-81.25,86.0,51,20,11.5
161,Buraydah,SA,2021-01-27 21:08:57,26.326,43.975,62.6,48,0,10.36
162,Adrar,MR,2021-01-27 21:08:11,20.5022,-10.0711,69.57,21,0,9.95
163,Ploemeur,FR,2021-01-27 21:08:57,47.7333,-3.4333,52.0,100,90,11.5
164,Katsuura,JP,2021-01-27 21:08:57,35.1333,140.3,45.0,65,75,10.36
165,Hualmay,PE,2021-01-27 21:08:04,-11.0964,-77.6139,75.58,68,94,10.83
166,Yar-Sale,RU,2021-01-27 21:08:58,66.8333,70.8333,-39.41,80,85,4.61
167,Maltahohe,NA,2021-01-27 21:08:58,-24.8333,16.9833,74.86,19,2,17.6
168,Rio Gallegos,AR,2021-01-27 21:08:12,-51.6226,-69.2181,55.4,28,40,27.63
169,Maumere,ID,2021-01-27 21:08:58,-8.6199,122.2111,80.13,80,100,12.5
170,Cidreira,BR,2021-01-27 21:07:52,-30.1811,-50.2056,75.47,89,100,9.17
171,Hurghada,EG,2021-01-27 21:07:21,27.2574,33.8129,64.4,68,0,4.61
172,Ngunguru,NZ,2021-01-27 21:08:58,-35.6167,174.5,69.01,82,56,3.0
173,Morant Bay,JM,2021-01-27 21:08:59,17.8815,-76.4093,84.2,70,20,24.16
174,Nikolskoye,RU,2021-01-27 21:07:27,59.7035,30.7861,33.8,93,90,4.47
175,Krasnoselkup,RU,2021-01-27 21:07:44,65.7,82.4667,-38.76,82,20,3.67
176,Kisaran,ID,2021-01-27 21:08:59,2.9845,99.6158,72.37,97,97,1.52
177,Nouadhibou,MR,2021-01-27 21:08:59,20.931,-17.0347,69.8,73,0,11.5
178,Biskamzha,RU,2021-01-27 21:08:59,53.4497,89.5272,17.85,93,100,13.67
179,Kiruna,SE,2021-01-27 21:08:59,67.8557,20.2251,14.0,92,90,4.61
180,Maceio,BR,2021-01-27 21:08:30,-9.6658,-35.7353,77.0,83,75,6.91
181,Pio Xii,BR,2021-01-27 21:09:00,-3.8325,-45.1525,77.59,92,100,2.77
182,Mahibadhoo,MV,2021-01-27 21:09:00,3.7833,72.9667,79.9,70,32,13.56
183,Puerto Colombia,CO,2021-01-27 21:09:00,10.9878,-74.9547,86.0,62,75,10.36
184,Asyut,EG,2021-01-27 21:09:00,27.181,31.1837,55.4,54,0,5.75
185,Narsaq,GL,2021-01-27 21:08:10,60.9167,-46.05,37.4,32,75,34.52
186,Mestia,GE,2021-01-27 21:09:00,43.0458,42.7278,32.74,76,98,2.68
187,Three Hills,CA,2021-01-27 21:09:01,51.7001,-113.2686,8.6,85,100,9.22
188,Petropavlovsk-Kamchatskiy,RU,2021-01-27 21:09:01,53.0452,158.6483,8.6,66,0,11.18
189,Vao,NC,2021-01-27 21:08:32,-22.6667,167.4833,78.17,85,100,20.67
190,Lorengau,PG,2021-01-27 21:09:01,-2.0226,147.2712,82.15,79,100,7.67
191,Quepos,CR,2021-01-27 21:09:01,9.4236,-84.1652,80.6,53,75,19.57
192,Bandarbeyla,SO,2021-01-27 21:09:01,9.4942,50.8122,73.6,76,12,17.87
193,Poum,NC,2021-01-27 21:09:01,-20.2333,164.0167,79.9,76,12,11.54
194,Airai,TL,2021-01-27 21:07:14,-8.9266,125.4092,62.11,100,100,3.42
195,Praxedis Guerrero,MX,2021-01-27 21:09:02,31.3667,-106.0167,48.2,27,20,8.05
196,Arlit,NE,2021-01-27 21:09:02,18.7369,7.3853,67.86,20,0,8.21
197,Prainha,BR,2021-01-27 21:09:02,-1.8,-53.48,85.19,65,87,5.03
198,Mayo,US,2021-01-27 21:08:16,38.8876,-76.5119,43.0,52,1,6.91
199,Avarua,CK,2021-01-27 21:09:02,-21.2078,-159.775,87.8,66,40,17.27
200,Coquimbo,CL,2021-01-27 21:09:02,-29.9533,-71.3436,66.2,68,0,12.66
201,San Buenaventura,MX,2021-01-27 21:09:03,27.0833,-101.5333,62.67,30,36,9.84
202,Kiunga,PG,2021-01-27 21:09:03,-6.1219,141.2906,72.54,97,100,1.43
203,Mayenne,FR,2021-01-27 21:08:17,48.3333,-0.6667,51.8,93,90,9.22
204,Ribeira Grande,PT,2021-01-27 21:09:03,38.5167,-28.7,60.8,88,40,20.71
205,Poniatowa,PL,2021-01-27 21:09:03,51.1798,22.1309,32.0,86,90,6.91
206,Matara,LK,2021-01-27 21:08:05,5.9485,80.5353,73.38,82,66,1.95
207,Hamilton,US,2021-01-27 21:05:30,39.1834,-84.5333,33.8,69,90,5.75
208,Kudahuvadhoo,MV,2021-01-27 21:09:04,2.6708,72.8944,79.95,74,45,18.41
